,month_year,cbsa_code,site,aqi,Manufacturing,"Mining, quarrying, and oil and gas extraction",Transportation and warehousing,Utilities,Wholesale trade,10300,11460,16980,17140,18020,18820,19820,22420,24700,26900,31080,32500,33780,34620,34900,35220,35860,36860,37100,40140,41940,42100,42220,42980,44700,46700,48940,sector,emp,estab,Crude_Oil_Price
108,12-2016,19820,0033,51.733333333333334,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",363.0,38.0,47.12
109,12-2016,19820,0033,51.733333333333334,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,10047.0,96.0,47.12
110,12-2016,19820,0033,51.733333333333334,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,229757.0,5315.0,47.12
111,12-2016,19820,0033,51.733333333333334,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wholesale trade,90848.0,5431.0,47.12
112,12-2016,19820,0036,42.875,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",363.0,38.0,47.12
113,12-2016,19820,0036,42.875,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,10047.0,96.0,47.12
114,12-2016,19820,0036,42.875,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,229757.0,5315.0,47.12
115,12-2016,19820,0036,42.875,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wholesale trade,90848.0,5431.0,47.12
116,12-2016,19820,0039,40.774193548387096,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",363.0,38.0,47.12
117,12-2016,19820,0039,40.774193548387096,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,10047.0,96.0,47.12
118,12-2016,19820,0039,40.774193548387096,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,229757.0,5315.0,47.12
119,12-2016,19820,0039,40.774193548387096,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wholesale trade,90848.0,5431.0,47.12
120,12-2016,19820,0093,51.310344827586206,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",363.0,38.0,47.12
121,12-2016,19820,0093,51.310344827586206,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,10047.0,96.0,47.12
122,12-2016,19820,0093,51.310344827586206,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,229757.0,5315.0,47.12
123,12-2016,19820,0093,51.310344827586206,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wholesale trade,90848.0,5431.0,47.12
